"location","population","HighestInfectionCount","PercentPopulationInfected"
"Namibia","2567024","172418","6.7200"
"Thailand","71697024","4786284","6.6800"
"Asia","4721383370","301445756","6.3800"
"Eswatini","1201680","75356","6.2700"
"Mexico","127504120","7709747","6.0500"
"Ecuador","18001002","1076430","5.9800"
"Dominican Republic","11228821","661103","5.8900"
"Jamaica","2827382","156864","5.5500"
"Iraq","44496124","2465545","5.5400"
"Honduras","10432858","472804","4.5300"
"Tokelau","1893","80","4.2300"
"Kiribati","131237","5085","3.8700"
"Vanuatu","326744","12019","3.6800"
"Philippines","115559008","4173631","3.6100"
"Solomon Islands","724272","25954","3.5800"
"Morocco","37457976","1279115","3.4100"
"Nepal","30547586","1003450","3.2800"
"Vatican","808","26","3.2200"
"El Salvador","6336393","201878","3.1900"
"India","1417173120","45040036","3.1800"
"Sri Lanka","21832150","672779","3.0800"
"Sao Tome and Principe","227393","6771","2.9800"
"Laos","7529477","219048","2.9100"
"Lower middle income","3432097300","97543197","2.8400"
"Indonesia","275501344","6829120","2.4800"
"Saudi Arabia","36408824","841469","2.3100"
"Gabon","2388997","49051","2.0500"
"Venezuela","28301700","552695","1.9500"
"Timor","1341298","23460","1.7500"
"Zambia","20017670","349661","1.7500"
"Zimbabwe","16320539","266365","1.6300"
"Lesotho","2305826","36138","1.5700"
"Djibouti","1120851","15690","1.4000"
"Mauritania","4736146","63866","1.3500"
"Kyrgyzstan","6630621","88953","1.3400"
"Bangladesh","171186368","2050703","1.2000"
"Myanmar","54179312","642545","1.1900"
"Comoros","836783","9109","1.0900"
"Equatorial Guinea","1674916","17130","1.0200"
"Rwanda","13776702","133252","0.9700"
"Africa","1426736614","13142811","0.9200"
"Cambodia","16767851","139213","0.8300"
"Mozambique","32969520","233825","0.7100"
"Pakistan","235824864","1580631","0.6700"
"Kenya","54027484","344101","0.6400"
"Algeria","44903228","272034","0.6100"
"Afghanistan","41128772","235214","0.5700"
"Ghana","33475870","172037","0.5100"
"Senegal","17316452","89099","0.5100"
"Uzbekistan","34627648","175081","0.5100"
"Gambia","2705995","12627","0.4700"
"Egypt","110990096","516023","0.4600"
"Guinea-Bissau","2105580","9614","0.4600"
"Papua New Guinea","10142625","46864","0.4600"
"Cameroon","27914542","125238","0.4500"
"Togo","8848700","39530","0.4500"
"Malawi","20405318","89168","0.4400"
"Burundi","12889583","54569","0.4200"
"Congo","5970430","25220","0.4200"
"Ethiopia","123379928","501172","0.4100"
"Uganda","47249588","172152","0.3600"
"Low income","737604900","2331950","0.3200"
"Cote d'Ivoire","28160548","88428","0.3100"
"Angola","35588996","107468","0.3000"
"Haiti","11585003","34298","0.3000"
"Central African Republic","5579148","15440","0.2800"
"Eritrea","3684041","10189","0.2800"
"Guinea","13859349","38572","0.2800"
"Syria","22125242","57423","0.2600"
"Madagascar","29611718","68552","0.2300"
"Nicaragua","6948395","16150","0.2300"
"Benin","13352864","28036","0.2100"
"Tajikistan","9952789","17786","0.1800"
"South Sudan","10913172","18823","0.1700"
"Somalia","17597508","27334","0.1600"
"Liberia","5302690","8090","0.1500"
"Mali","22593598","33164","0.1500"
"Sudan","46874200","63993","0.1400"
"Nigeria","218541216","267188","0.1200"
"Burkina Faso","22673764","22129","0.1000"
"Democratic Republic of Congo","99010216","100616","0.1000"
"Sierra Leone","8605723","7836","0.0900"
"Tanzania","65497752","43226","0.0700"
"Chad","17723312","7702","0.0400"
"Niger","26207982","9518","0.0400"
"Yemen","33696612","11945","0.0400"
"England","56550000","",""
"Hong Kong","7488863","",""
"Macao","695180","",""
"North Korea","26069416","",""
"Northern Cyprus","382836","",""
"Northern Ireland","1896000","",""
"Scotland","5466000","",""
"Taiwan","23893396","",""
"Turkmenistan","6430777","",""
"Wales","3170000","",""
"Western Sahara","576005","",""
